Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term,Title,Tot Enrl,Component,Instructor
16300,Active,8732,MA,131,7,4159,Fall 2015,Calculus I,72,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,7,4169,Fall 2016,Calculus I,27,LEC,"Yao,Guangming"
16300,Active,8732,MA,131,7,4179,Fall 2017,Calculus I,25,LEC,"Yao,Guangming"
16300,Active,8732,MA,131,7,4189,Fall 2018,Calculus I,23,LEC,"Yao,Guangming"
16300,Active,8732,MA,131,7,4199,Fall 2019,Calculus I,20,LEC,"Yao,Guangming"
16300,Active,8732,MA,131,8,4159,Fall 2015,Calculus I,25,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,1,4146,Summer 2014,Calculus II,1,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,1,4149,Fall 2014,Calculus II,44,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,1,4152,Spring 2015,Calculus II,107,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,1,4156,Summer 2015,Calculus II,2,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,1,4159,Fall 2015,Calculus II,56,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,1,4162,Spring 2016,Calculus II,86,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,1,4166,Summer 2016,Calculus II,1,LEC,"Skufca,Joseph D"
16300,Active,8733,MA,132,1,4169,Fall 2016,Calculus II,58,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,1,4172,Spring 2017,Calculus II,77,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,1,4176,Summer 2017,Calculus II,1,LEC,"Skufca,Joseph D"
16300,Active,8733,MA,132,1,4179,Fall 2017,Calculus II,42,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,1,4182,Spring 2018,Calculus II,64,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,1,4189,Fall 2018,Calculus II,51,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,1,4192,Spring 2019,Calculus II,73,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,1,4199,Fall 2019,Calculus II,69,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,1,4202,Spring 2020,Calculus II,52,LEC,"Annan,William Ebo"
16300,Active,8733,MA,132,1,4202,Spring 2020,Calculus II,52,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,1,4212,Spring 2021,Calculus II,42,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,1,4219,Fall 2021,Calculus II,48,LEC,"Priyankara,Kanaththa Gamage Don Sulalitha"
16300,Active,8733,MA,132,1,4222,Spring 2022,Calculus II,0,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,2,4149,Fall 2014,Calculus II,92,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,2,4152,Spring 2015,Calculus II,60,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,2,4159,Fall 2015,Calculus II,109,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,2,4162,Spring 2016,Calculus II,119,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,2,4169,Fall 2016,Calculus II,95,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,2,4172,Spring 2017,Calculus II,77,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,2,4179,Fall 2017,Calculus II,77,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,2,4182,Spring 2018,Calculus II,81,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,2,4189,Fall 2018,Calculus II,82,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,2,4192,Spring 2019,Calculus II,85,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,2,4199,Fall 2019,Calculus II,66,LEC,"White,Diana Terese"
16300,Active,8733,MA,132,2,4202,Spring 2020,Calculus II,87,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,2,4212,Spring 2021,Calculus II,90,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,2,4219,Fall 2021,Calculus II,63,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,2,4222,Spring 2022,Calculus II,0,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,3,4152,Spring 2015,Calculus II,67,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,3,4162,Spring 2016,Calculus II,51,LEC,"Song,Guohui"
16300,Active,8733,MA,132,3,4169,Fall 2016,Calculus II,38,LEC,"Parshad,Rana D"
16300,Active,8733,MA,132,3,4172,Spring 2017,Calculus II,72,LEC,"Song,Guohui"
16300,Active,8733,MA,132,3,4179,Fall 2017,Calculus II,36,LEC,"Parshad,Rana D"
